time_s,setpoint_deg,angle_deg,angular_rate_deg_s,control_torque_nm,wind_torque_nm
0.394,0.0,0.0,0.0,0.0,0.0
0.396,0.0,0.0,0.0,0.0,0.0
0.398,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0
0.402,0.0,0.0,0.0,0.0,0.0
0.404,0.0,0.0,0.0,0.0,0.0
0.406,0.0,0.0,0.0,0.0,0.0
0.40800000000000003,0.0,0.0,0.0,0.0,0.0
0.41000000000000003,0.0,0.0,0.0,0.0,0.0
0.41200000000000003,0.0,0.0,0.0,0.0,0.0
0.41400000000000003,0.0,0.0,0.0,0.0,0.0
0.41600000000000004,0.0,0.0,0.0,0.0,0.0
0.418,0.0,0.0,0.0,0.0,0.0
0.42,0.0,0.0,0.0,0.0,0.0
0.422,0.0,0.0,0.0,0.0,0.0
0.424,0.0,0.0,0.0,0.0,0.0
0.426,0.0,0.0,0.0,0.0,0.0
0.428,0.0,0.0,0.0,0.0,0.0
0.43,0.0,0.0,0.0,0.0,0.0
0.432,0.0,0.0,0.0,0.0,0.0
0.434,0.0,0.0,0.0,0.0,0.0
0.436,0.0,0.0,0.0,0.0,0.0
0.438,0.0,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.0,0.0,0.0
0.442,0.0,0.0,0.0,0.0,0.0
0.444,0.0,0.0,0.0,0.0,0.0
0.446,0.0,0.0,0.0,0.0,0.0
0.448,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.452,0.0,0.0,0.0,0.0,0.0
0.454,0.0,0.0,0.0,0.0,0.0
0.456,0.0,0.0,0.0,0.0,0.0
0.458,0.0,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.0,0.0
0.462,0.0,0.0,0.0,0.0,0.0
0.464,0.0,0.0,0.0,0.0,0.0
0.466,0.0,0.0,0.0,0.0,0.0
0.468,0.0,0.0,0.0,0.0,0.0
0.47000000000000003,0.0,0.0,0.0,0.0,0.0
0.47200000000000003,0.0,0.0,0.0,0.0,0.0
0.47400000000000003,0.0,0.0,0.0,0.0,0.0
0.47600000000000003,0.0,0.0,0.0,0.0,0.0
0.47800000000000004,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0,0.0
0.482,0.0,0.0,0.0,0.0,0.0
0.484,0.0,0.0,0.0,0.0,0.0
0.486,0.0,0.0,0.0,0.0,0.0
0.488,0.0,0.0,0.0,0.0,0.0
0.49,0.0,0.0,0.0,0.0,0.0
0.492,0.0,0.0,0.0,0.0,0.0
0.494,0.0,0.0,0.0,0.0,0.0
0.496,0.0,0.0,0.0,0.0,0.0
0.498,0.0,0.0,0.0,0.0,0.0
0.5,10.0,0.007333859777674537,3.666929888837269,0.08,0.0
0.502,10.0,0.02188423757658082,7.275188899453141,0.08,0.0
0.504,10.0,0.043535669108379145,10.82571576589916,0.08,0.0
0.506,10.0,0.07217453751334323,14.319434202482043,0.08,0.0
0.508,10.0,0.10768904380150243,17.7572531440796,0.08,0.0
0.51,10.0,0.1499691777667256,21.140066982611597,0.08,0.0
0.512,10.0,0.19890668936617978,24.468755799727077,0.08,0.0
0.514,10.0,0.2543791418357308,27.73622623477549,0.0798263536803918,0.0
0.516,10.0,0.3161377713497687,30.879314757018957,0.07825332364098671,0.0
0.518,10.0,0.3839325594742258,33.89739406222855,0.07662319046815581,0.0
0.52,10.0,0.4575136048192221,36.790522672498156,0.07495069760070285,0.0
0.522,10.0,0.5366321568649519,39.559276022864935,0.07324714275769985,0.0
0.524,10.0,0.6210413984660746,42.204620800561386,0.07152126260263555,0.0
0.526,10.0,0.7104970410278397,44.72782128088257,0.06977988693739341,0.0
0.528,10.0,0.8047577797032534,47.130369337706775,0.06802842250811748,0.0
0.53,10.0,0.9035856436551455,49.41393197594603,0.066271210843483,0.0
0.532,10.0,1.006746267329113,51.58031183698384,0.06451179296674421,0.0
0.534,10.0,1.1140091019568665,53.631417313876796,0.06275310526205358,0.0
0.536,10.0,1.2251475815363204,55.56923978972695,0.06099762444618174,0.0
0.538,10.0,1.3399392538578077,57.395836160743556,0.05924747491724412,0.0
0.54,10.0,1.4581658844271492,59.11331528467083,0.057504508292302164,0.0
0.542,10.0,1.5796135391261594,60.72382734950516,0.055770362387804036,0.0
0.544,10.0,1.7040726499647991,62.22955541931978,0.05404650500568421,0.0
0.546,10.0,1.8313380671800619,63.63270860763138,0.052334266489754845,0.0
0.548,10.0,1.9612091001238194,64.93551647187883,0.05063486398329793,0.0
0.55,10.0,2.093489548780618,66.14022432839936,0.048949419554504284,0.0
0.552,10.0,2.227987727311636,67.24908926550879,0.04727897379136371,0.0
0.554,10.0,2.3645164806918664,68.26437669011536,0.04562449604986202,0.0
0.556,10.0,2.5028931952639395,69.18835728603658,0.04398689223048946,0.0
0.558,10.0,2.6429398038514975,70.0233042937791,0.04236701072972773,0.0
0.56,10.0,2.7844827859412744,70.77149104488853,0.04076564704437023,0.0
0.562,10.0,2.9273531633437333,71.43518870122944,0.039183547381727885,0.0
0.5640000000000001,10.0,3.0713864916683393,72.01666416230316,0.03762141153650883,0.0
0.5660000000000001,10.0,3.2164228478945978,72.51817811312914,0.03607989522695179,0.0
0.5680000000000001,10.0,3.3623068142789387,72.9419831921706,0.03455961203237129,0.0
0.5700000000000001,10.0,3.5088874588067824,73.29032226392162,0.033061135037000054,0.0
0.5720000000000001,10.0,3.656018312375909,73.56542678456346,0.03158499825746375,0.0
0.5740000000000001,10.0,3.803557342879699,73.76951525189483,0.030131697910860504,0.0
0.5760000000000001,10.0,3.951366926345305,73.90479173280325,0.02870169356536873,0.0
0.578,10.0,4.099313815271435,73.97344446306441,0.027295409204188166,0.0
0.58,10.0,4.247269104302185,73.977644515375,0.025913234225402704,0.0
0.582,10.0,4.39510819336688,73.91954453234759,0.02455552439428777,0.0
0.584,10.0,4.54271074841048,73.80127752180029,0.02322260276010408,0.0
0.586,10.0,4.689960659834714,73.62495571211723,0.021914760546114458,0.0
0.588,10.0,4.836745998766274,73.39266946577985,0.02063225801912193,0.0
0.59,10.0,4.982958971265087,73.1064862494062,0.019375325343030915,0.0
0.592,10.0,5.128495870582701,72.76844965880716,0.018144163419610244,0.0
0.594,10.0,5.273257027578089,72.38057849769423,0.016938944718665888,0.0
0.596,10.0,5.4171467593956155,71.94486590876325,0.015759814099117028,0.0
0.598,10.0,5.560073316507504,71.46327855594396,0.01460688962194941,0.0
0.6,10.0,5.7019488282208055,70.93775585665121,0.013480263355638445,0.0
0.602,10.0,5.842689246746621,70.37020926290768,0.012380002174360156,0.0
0.604,10.0,5.982214289927082,69.76252159023072,0.011306148549109864,0.0
0.606,10.0,6.120447382713468,69.11654639319312,0.010258721331706487,0.0
0.608,10.0,6.2573155974866275,68.43410738657944,0.009237716531562523,0.0
0.61,10.0,6.392749593308763,67.7169979110681,0.00824310808503062,0.0
0.612,10.0,6.526683554193515,66.9669804423758,0.007274848617092631,0.0
0.614,10.0,6.659055126479127,66.18578614280584,0.006332870195128747,0.0
0.616,10.0,6.7898053553874185,65.37511445414614,0.005417085074488209,0.0
0.618,10.0,6.918878620849151,64.5366327308664,0.004527386435575213,0.0
0.62,10.0,7.046222572674287,63.67197591256762,0.003663649112163953,0.0
0.622,10.0,7.171788065143569,62.78274623464096,0.002825730310660454,0.0
0.624,10.0,7.295529091095763,61.87051297609706,0.002013470320036452,0.0
0.626,10.0,7.417402715582825,60.936812243531286,0.0012266932121706223,0.0
0.628,10.0,7.537369009163217,59.9831467901956,0.00046520753234416054,0.0
0.63,10.0,7.655390980901522,59.01098586915296,-0.0002711930203487603,0.0
0.632,10.0,7.771434511140516,58.02176511949632,-0.0009827289229022498,0.0
0.634,10.0,7.8854682841097565,57.016886484620805,-0.0016696341688244992,0.0
0.636,10.0,7.9974637204328465,55.997718161544704,-0.0023321556192842374,0.0
0.638,10.0,8.107394909593411,54.965594580282826,-0.00297055236516321,0.0
0.64,10.0,8.215238542417978,53.92181641228357,-0.003585095100181186,0.0
0.642,10.0,8.32097384363188,52.86765060695023,-0.0041760655052503134,0.0
0.644,10.0,8.42458250454243,51.80433045527593,-0.004743755644197201,0.0
0.646,10.0,8.526048615901693,50.73305567963166,-0.005288467370980328,0.0
0.648,10.0,8.625358600999208,49.65499254875666,-0.005810511748515431,0.0
0.65,10.0,8.722501149033231,48.57127401701155,-0.006310208479207612,0.0
0.652,10.0,8.817467148807161,47.4829998869652,-0.006787885347277617,0.0
0.654,10.0,8.91024962279596,46.391236994398255,-0.007243877672955198,0.0
0.656,10.0,9.000843661625593,45.29701941481762,-0.007678527778601639,0.0
0.658,10.0,9.08924635900677,44.201348690588915,-0.00809218446680993,0.0
0.66,10.0,9.175456747162384,43.10519407780616,-0.008485202510521084,0.0
0.662,10.0,9.259475732786445,42.00949281203087,-0.008857942155182673,0.0
0.664,10.0,9.341306033570538,40.91515039204611,-0.009210768632964418,0.0
0.666,10.0,9.420952115332106,39.82304088078417,-0.009544051689036496,0.0
0.668,10.0,9.498420129777308,38.73400722260074,-0.00985816511990447,0.0
0.67,10.0,9.573717852929471,37.64886157608176,-0.010153486323785538,0.0
0.672,10.0,9.64685462425264,36.56838566158394,-0.01043039586300048,0.0
0.674,10.0,9.717841286498087,35.49333112272384,-0.01068927703834811,0.0
0.676,10.0,9.786690126300176,34.42441990104514,-0.010930515475418113,0.0
0.678,10.0,9.853414815546392,33.36234462310845,-0.011154498722790455,0.0
0.68,10.0,9.918030353544918,32.30776899926269,-0.011361615862061776,0.0
0.682,10.0,9.980553010011661,31.261328233372296,-0.01155225712963043,0.0
0.684,10.0,10.04100026889724,30.22362944278933,-0.011726813550164613,0.0
0.686,10.0,10.09939077307299,29.19525208787493,-0.011885676581670772,0.0
0.6880000000000001,10.0,10.15574426989377,28.176748410389653,-0.01202923777207234,0.0
0.6900000000000001,10.0,10.210081557653945,27.168643880087703,-0.0121578884272024,0.0
0.6920000000000001,10.0,10.262424432951676,26.171437648865282,-0.012272019290107112,0.0
0.6940000000000001,10.0,10.312795638975333,25.185603011828743,-0.012372020231551527,0.0
0.6960000000000001,10.0,10.36121881472466,24.211587874663625,-0.012458279951612108,0.0
0.6980000000000001,10.0,10.407718445178062,23.249815226701088,-0.012531185692236933,0.0
0.7000000000000001,10.0,10.452319812416249,22.30068361909359,-0.012591122960647176,0.0
0.7020000000000001,10.0,10.495048947711304,21.36456764752715,-0.012638475263450077,0.0
0.704,10.0,10.53593258458913,20.44181843891274,-0.012673623851328641,0.0
0.706,10.0,10.57499811287216,19.532764141514843,-0.012696947474167993,0.0
0.708,10.0,10.612273533708139,18.637710417990235,-0.012708822146475991,0.0
0.71,10.0,10.647787415589791,17.756940940825444,-0.012709620922949649,0.0
0.712,10.0,10.681568851369143,16.89071788967632,-0.012699713684037706,0.0
0.714,10.0,10.7136474162694,16.039282450128127,-0.012679466931344177,0.0
0.716,10.0,10.744053126896219,15.202855313409664,-0.012649243592715837,0.0
0.718,10.0,10.772816401249438,14.3816371766095,-0.012609402836853845,0.0
0.72,10.0,10.799968019735353,13.575809242957273,-0.012560299897286058,0.0
0.722,10.0,10.825539087178848,12.785533721747521,-0.012502285905534923,0.0
0.724,10.0,10.849560995833844,12.010954327497902,-0.012435707733313678,0.0
0.726,10.0,10.872065389389741,11.25219677794803,-0.012360907843581605,0.0
